block,trial,!Condition,!item,bgr,wgr,style,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,*
0,38,FlyReward2,,0,0,1,!Audio\FlyYum.wav,"0,0,0",0,_Animation\FlyReward2.gif(1024x768),"0,0,0",2500,*,,,,,,,,,,,,,,,,,,,,,,,,
0,39,,,0,0,1,Background\Background_FlyReward2.bmp,"0,0,1",0,!Audio\FlyReward2.wav,"0,0,0",0,_Animation\GreenFrogSpeak.gif(1024x294),"0,.9,0",11000,*,,,,,,,,,,,,,,,,,,,,,
1,40,Set 2,M-WN-box,2,2,1,Stimuli\TargetPosition25.bmp,"0,0,1",500,!Audio\M-WN-box.wav,"0,0,0",0,_Animation\GreenFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition25.bmp,"0,0,0","rt:-1,any<201",*,,,,,,,,,,,,,,,,,,
1,41,,F-NN-boy,2,2,1,Stimuli\TargetPosition26.bmp,"0,0,1",500,!Audio\F-NN-boy.wav,"0,0,0",0,_Animation\LadyFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition26.bmp,"0,0,0","rt:-1,any<201",*,,,,,,,,,,,,,,,,,,
1,42,,M-NN-boot,2,2,1,Stimuli\TargetPosition27.bmp,"0,0,1",500,!Audio\M-NN-boot.wav,"0,0,0",0,_Animation\GreenFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition27.bmp,"0,0,0","rt:-1,any<201",*,,,,,,,,,,,,,,,,,,
1,43,,F-NN-bus,2,2,1,Stimuli\TargetPosition28.bmp,"0,0,1",500,!Audio\F-NN-bus.wav,"0,0,0",0,_Animation\LadyFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition28.bmp,"0,0,0","rt:-1,any<201",*,,,,,,,,,,,,,,,,,,
1,44,,M-NN-bug,2,2,1,Stimuli\TargetPosition29.bmp,"0,0,1",500,!Audio\M-NN-bug.wav,"0,0,0",0,_Animation\GreenFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition29.bmp,"0,0,0","rt:-1,any<201",*,,,,,,,,,,,,,,,,,,
1,45,,F-WN-car,2,2,1,Stimuli\TargetPosition30.bmp,"0,0,1",500,!Audio\F-WN-car.wav,"0,0,0",0,_Animation\LadyFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition30.bmp,"0,0,0","rt:-1,any<201",*,,,,,,,,,,,,,,,,,,
1,46,,M-WN-chair,2,2,1,Stimuli\TargetPosition31.bmp,"0,0,1",500,!Audio\M-WN-chair.wav,"0,0,0",0,_Animation\GreenFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition31.bmp,"0,0,0","rt:-1,any<201",*,,,,,,,,,,,,,,,,,,
1,47,,F-NN-crab,2,2,1,Stimuli\TargetPosition32.bmp,"0,0,1",500,!Audio\F-NN-crab.wav,"0,0,0",0,_Animation\LadyFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition32.bmp,"0,0,0","rt:-1,any<201",*,,,,,,,,,,,,,,,,,,
1,48,,M-NN-cup,2,2,1,Stimuli\TargetPosition33.bmp,"0,0,1",500,!Audio\M-NN-cup.wav,"0,0,0",0,_Animation\GreenFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition33.bmp,"0,0,0","rt:-1,any<201",*,,,,,,,,,,,,,,,,,,
1,49,,F-NN-dog,2,2,1,Stimuli\TargetPosition34.bmp,"0,0,1",500,!Audio\F-NN-dog.wav,"0,0,0",0,_Animation\LadyFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition34.bmp,"0,0,0","rt:-1,any<201",*,,,,,,,,,,,,,,,,,,
1,50,,M-NN-duck,2,2,1,Stimuli\TargetPosition35.bmp,"0,0,1",500,!Audio\M-NN-duck.wav,"0,0,0",0,_Animation\GreenFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition35.bmp,"0,0,0","rt:-1,any<201",*,,,,,,,,,,,,,,,,,,
1,51,,F-WN-face,2,2,1,Stimuli\TargetPosition36.bmp,"0,0,1",500,!Audio\F-WN-face.wav,"0,0,0",0,_Animation\LadyFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition36.bmp,"0,0,0","rt:-1,any<201",*,,,,,,,,,,,,,,,,,,
