block,trial,!Item,bgr,wgr,style,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,*
1,48,,2,2,1,Background\Base_Adult_children_dog.bmp,"0,0,0",0,3-back\Arrays\framed\4-3back-moon_fish_ladybug_framed.bmp,"0,.9,0",0,!Audio\Go_get_the.wav,"0,0,0",2500,!3-back\Audio\moon_fish_ladybug.wav,"0,0,0",2500,!Audio\DING.wav,"0,0,0",250,3-back\Arrays\framed\4-3back-moon_fish_ladybug_framed.bmp,"0,.9,0","rt: 4<141,1<241,2<241,3<241,5<241,6<241",*,,,,,,,,,,,,
1,49,,2,2,1,Background\Base_Adult_children_dog.bmp,"0,0,0",0,3-back\Arrays\framed\4-3back-robot_backpack_swing_framed.bmp,"0,.9,0",0,!Audio\Go_get_the.wav,"0,0,0",2500,!3-back\Audio\robot_backpack_swing.wav,"0,0,0",2500,!Audio\DING.wav,"0,0,0",250,3-back\Arrays\framed\4-3back-robot_backpack_swing_framed.bmp,"0,.9,0","rt: 4<142,1<242,2<242,3<242,5<242,6<242",*,,,,,,,,,,,,
1,50,,2,2,1,Background\Base_Adult_children_dog.bmp,"0,0,0",0,3-back\Arrays\framed\4-3back-spider_torch_cupcake_framed.bmp,"0,.9,0",0,!Audio\Go_get_the.wav,"0,0,0",2500,!3-back\Audio\spider_torch_cupcake.wav,"0,0,0",2500,!Audio\DING.wav,"0,0,0",250,3-back\Arrays\framed\4-3back-spider_torch_cupcake_framed.bmp,"0,.9,0","rt: 4<143,1<243,2<243,3<243,5<243,6<243",*,,,,,,,,,,,,
1,51,,2,2,1,Background\Base_Adult_children_dog.bmp,"0,0,0",0,3-back\Arrays\framed\5-3back-bike_train_car_framed.bmp,"0,.9,0",0,!Audio\Go_get_the.wav,"0,0,0",2500,!3-back\Audio\bike_train_car.wav,"0,0,0",2500,!Audio\DING.wav,"0,0,0",250,3-back\Arrays\framed\5-3back-bike_train_car_framed.bmp,"0,.9,0","rt: 5<144,1<244,2<244,3<244,4<244,6<244",*,,,,,,,,,,,,
1,52,,2,2,1,Background\Base_Adult_children_dog.bmp,"0,0,0",0,3-back\Arrays\framed\5-3back-bus_tomato_rocking horse_framed.bmp,"0,.9,0",0,!Audio\Go_get_the.wav,"0,0,0",2500,!3-back\Audio\bus_tomato_rocking horse.wav,"0,0,0",2500,!Audio\DING.wav,"0,0,0",250,3-back\Arrays\framed\5-3back-bus_tomato_rocking horse_framed.bmp,"0,.9,0","rt: 5<145,1<245,2<245,3<245,4<245,6<245",*,,,,,,,,,,,,
1,53,,2,2,1,Background\Base_Adult_children_dog.bmp,"0,0,0",0,3-back\Arrays\framed\5-3back-lock_pan_snowflake_framed.bmp,"0,.9,0",0,!Audio\Go_get_the.wav,"0,0,0",2500,!3-back\Audio\lock_pan_snowflake.wav,"0,0,0",2500,!Audio\DING.wav,"0,0,0",250,3-back\Arrays\framed\5-3back-lock_pan_snowflake_framed.bmp,"0,.9,0","rt: 5<146,1<246,2<246,3<246,4<246,6<246",*,,,,,,,,,,,,
1,54,,2,2,1,Background\Base_Adult_children_dog.bmp,"0,0,0",0,3-back\Arrays\framed\6-3back-bear_snail_bowl_framed.bmp,"0,.9,0",0,!Audio\Go_get_the.wav,"0,0,0",2500,!3-back\Audio\bear_snail_bowl.wav,"0,0,0",2500,!Audio\DING.wav,"0,0,0",250,3-back\Arrays\framed\6-3back-bear_snail_bowl_framed.bmp,"0,.9,0","rt: 6<147,1<247,2<247,3<247,4<247,5<247",*,,,,,,,,,,,,
1,55,,2,2,1,Background\Base_Adult_children_dog.bmp,"0,0,0",0,3-back\Arrays\framed\6-3back-glove_skateboard_belt_framed.bmp,"0,.9,0",0,!Audio\Go_get_the.wav,"0,0,0",2500,!3-back\Audio\glove_skateboard_belt.wav,"0,0,0",2500,!Audio\DING.wav,"0,0,0",250,3-back\Arrays\framed\6-3back-glove_skateboard_belt_framed.bmp,"0,.9,0","rt: 6<148,1<248,2<248,3<248,4<248,5<248",*,,,,,,,,,,,,
1,56,BoneReward4,0,0,1,!Audio\TADA.wav,"0,0,0",0,_Animations\BoneReward4.gif(1024x768),"0,0,0",2000,Background\BoneReward4.bmp,"0,0,0",0,!Audio\BoneReward4.wav,"0,0,0",7000,*,,,,,,,,,,,,,,,,,,
0,57,Complete!,0,0,1,~Testing has completed,"0,0,0",rt:any>9999,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,101,Correct!,0,0,1,Background\Base_Adult_children_dog.bmp,"0,0,0",0,1-back\Arrays\framed\Train-1-1back-hotdog_framed.bmp,"0,.9,0",50,!Audio\TADA.wav,"0,0,0",250,_Animations\Dog_position1.gif(1024x600),"0,.1,0",1500,Background\Base_Adult_child.bmp,"0,0,0",0,1-back\Arrays\dogposition\Train-1-1back-hotdog_dogPos.bmp,"0,.9,0",1000,!Audio\Great_job.wav,"0,0,0",rt:any,*,,,,,,,,,
0,102,Correct!,0,0,1,Background\Base_Adult_children_dog.bmp,"0,0,0",0,1-back\Arrays\framed\Train-3-1back-pumpkin_framed.bmp,"0,.9,0",50,!Audio\TADA.wav,"0,0,0",250,_Animations\Dog_position3.gif(1024x600),"0,.1,0",1500,Background\Base_Adult_child.bmp,"0,0,0",0,1-back\Arrays\dogposition\Train-3-1back-pumpkin_dogPos.bmp,"0,.9,0",1000,!Audio\Great_job.wav,"0,0,0",rt:any,*,,,,,,,,,
