block,trial,!item,bgr,wgr,style,stim,loc,time,stim,loc,time,*
-1,118,Fm2,0,0,9,~Acquisition...voditelyem2.wav,"0,0,0",2004,!Female/masculine/voditelyem2.wav,"0,0,0",rt:5,*
-1,119,Mm1,0,0,9,~Acquisition...zvonarya2.wav,"0,0,0",2140,!Male/masculine/zvonarya2.wav,"0,0,0",rt:5,*
-1,120,Fm1,0,0,9,~Acquisition...ognyem2.wav,"0,0,0",2043,!Female/masculine/ognyem2.wav,"0,0,0",rt:5,*
-1,121,null,0,0,9,~Null,"0,0,0",rt:5,*
-1,122,Mm2,0,0,9,~Acquisition...pokoritelya2.wav,"0,0,0",2136,!Male/masculine/pokoritelya2.wav,"0,0,0",rt:5,*
-1,123,Mm1,0,0,9,~Acquisition...ijunyem2.wav,"0,0,0",2108,!Male/masculine/ijunyem2.wav,"0,0,0",rt:5,*
-1,124,Mf1,0,0,9,~Acquisition...kolesnitsoy2.wav,"0,0,0",2198,!Male/feminine/kolesnitsoy2.wav,"0,0,0",rt:5,*
-1,125,Mm2,0,0,9,~Acquisition...slushatelyem2.wav,"0,0,0",2073,!Male/masculine/slushatelyem2.wav,"0,0,0",rt:5,*
-1,126,Mm1,0,0,9,~Acquisition...zvonaryem2.wav,"0,0,0",2011,!Male/masculine/zvonaryem2.wav,"0,0,0",rt:5,*
-1,127,Ff2,0,0,9,~Acquisition...koderovkau2.wav,"0,0,0",2057,!Female/feminine/koderovkau2.wav,"0,0,0",rt:5,*
-1,128,Mf2,0,0,9,~Acquisition...pogremushku2.wav,"0,0,0",2143,!Male/feminine/pogremushku2.wav,"0,0,0",rt:5,*
-1,129,Mf2,0,0,9,~Acquisition...devochku2.wav,"0,0,0",2078,!Male/feminine/devochku2.wav,"0,0,0",rt:5,*
-1,130,null,0,0,9,~Null,"0,0,0",rt:5,*
-1,131,Fm2,0,0,9,~Acquisition...voditelya2.wav,"0,0,0",2010,!Female/masculine/voditelya2.wav,"0,0,0",rt:5,*
-1,132,Fm2,0,0,9,~Acquisition...muchitelya2.wav,"0,0,0",2110,!Female/feminine/muchitelya2.wav,"0,0,0",rt:5,*
-1,133,Mf1,0,0,9,~Acquisition...oblavoy2.wav,"0,0,0",2045,!Male/feminine/oblavoy2.wav,"0,0,0",rt:5,*
-1,134,Mf2,0,0,9,~Acquisition...khlopushkoj2.wav,"0,0,0",2063,!Male/feminine/khlopushkoj2.wav,"0,0,0",rt:5,*
-1,135,Mf2,0,0,9,~Acquisition...devochkoy2.wav,"0,0,0",2183,!Male/feminine/devochkoy2.wav,"0,0,0",rt:5,*
