Old Word	Best	Candidate1	Candidate2
Male/C_masculine/Ljubitelyem	Male/C_masculine/ljubitelyem	None	None
Male/C_feminine/Bolnitsaoj	Male/C_feminine/bolnitsoy	None	None
Male/C_feminine/Trubochkaoj	Male/C_feminine/jubochkoj	Male/C_feminine/trubochkoy	None
Female/C_feminine/Progulkaoj	Female/C_feminine/progulkaoj	Female/C_feminine/progulkau	None
Male/C_feminine/Makushkau	Male/C_feminine/makushku	None	None
Female/C_masculine/Voditelya	Female/C_masculine/voditelya	Female/C_masculine/voditelyem	Female/C_masculine/sozdatelya
Male/C_masculine/Zveryem	Male/C_masculine/zveryem	None	None
Female/C_masculine/Mechtatelyem	Female/C_masculine/uchitelyem	None	None
Female/C_masculine/Denya	Female/C_masculine/penya	Female/C_masculine/denya	Female/C_masculine/olenya
Female/C_feminine/chistotaoj	Female/C_feminine/chistotaoj	None	None
Female/C_masculine/Dvigatelyem	Female/C_masculine/dvigatelyem	Female/C_masculine/voditelyem	Female/C_masculine/dvigatelya
Male/C_feminine/Sobakaoj	Male/C_feminine/sobakoj	None	None
Female/C_feminine/Rozochkaoj	Female/C_feminine/rozochkaoj	Female/C_feminine/rozochkau	Female/C_feminine/kozhaoj
Male/C_masculine/Potrebitelyem	Male/C_masculine/potrebitelyem	Male/C_masculine/potrebitelya	None
Male/C_feminine/Devushkaoj	Male/C_feminine/devushkoj	None	None
Female/C_feminine/Krazhau	Female/C_feminine/krazhau	Female/C_feminine/krazhaoj	None
Male/C_feminine/Pokhodkau	Male/C_feminine/pokhodku	None	None
Female/C_masculine/Roditelyem	Female/C_masculine/voditelyem	Female/C_masculine/stroitelyem	Female/C_masculine/sozdatelyem
Male/C_feminine/lampau	None	None	None
Male/C_feminine/Voronau	Male/C_feminine/voronu	Male/C_feminine/koronu	None
Male/C_feminine/Vdovaoj	Male/C_feminine/Vdovoy	None	None
Male/C_masculine/Vikhryem	Male/C_masculine/vikhryem	None	None
Male/C_masculine/Tsenitelya	Male/C_masculine/tsenitelya	Male/C_masculine/tsenitelyem	None
Female/C_masculine/Osnovatelya	Female/C_masculine/osnovatelya	Female/C_masculine/sozdatelya	None
Male/C_feminine/Vysotau	Male/C_feminine/vysotu	None	None
Male/C_masculine/Fonarya	Male/C_masculine/fonarya	Male/C_masculine/zvonarya	None
Female/C_masculine/Binoklya	None	None	None
Female/C_masculine/Uchitelya	Female/C_masculine/uchitelya	Female/C_masculine/uchitelyem	None
Male/C_masculine/Voplyem	Male/C_masculine/voplem	None	None
Female/C_masculine/Kamenyem	Female/C_masculine/kamenyem	Female/C_masculine/penyem	Female/C_masculine/olenyem
Male/C_feminine/obertkau	Male/C_feminine/obertku	None	None
Female/C_feminine/Zhenschinaoj	Female/C_feminine/zhenschinau	None	None
Female/C_feminine/Tarelkau	Female/C_feminine/tarelkau	None	None
Male/C_masculine/Zvonarya	Male/C_masculine/zvonarya	Male/C_masculine/fonarya	Male/C_masculine/zvonaryem
Female/C_masculine/Pokupatelya	Female/C_masculine/pokupatelya	None	None
Male/C_feminine/Kochergau	Male/C_feminine/kochergu	None	None
Female/C_masculine/Khranitelyem	Female/C_masculine/khranitelyem	Female/C_masculine/khranitelya	Female/C_masculine/uchitelyem
Female/C_masculine/Smotritelyem	Female/C_masculine/smotritelyem	Female/C_masculine/stroitelyem	Female/C_masculine/smotritelya
Male/C_feminine/Lestnitsau	Male/C_feminine/lestnitsu	None	None
Male/C_feminine/Babushkau	Male/C_feminine/babushku	None	None
Male/C_feminine/Prodavshchistaoj	None	None	None
Male/C_masculine/Slushatelyem	Male/C_masculine/slushatelyem	Male/C_masculine/slushatelya	Male/C_masculine/dushitelyem
Female/C_feminine/Dorogau	Female/C_feminine/dorogau	Female/C_feminine/vorovkau	Female/C_feminine/dorogaoj
Male/C_feminine/Ulitsau	Male/C_feminine/ulitsu	Male/C_feminine/lvitsu	None
Male/C_feminine/Podushkau	Male/C_feminine/podushku	None	None
Male/C_masculine/Sukharya	Male/C_masculine/sukharya	Male/C_masculine/glukharya	None
Female/C_feminine/Vystavkau	Female/C_feminine/vystavkau	None	None
Female/C_masculine/Muchitelyem	Female/C_masculine/uchitelyem	Female/C_masculine/uchitelya	Female/C_masculine/sluzhitelyem
Female/C_masculine/Staratelyem	Female/C_masculine/stroitelyem	None	None
Female/C_masculine/Denyem	Female/C_masculine/penyem	Female/C_masculine/olenyem	Female/C_masculine/kamenyem
Male/C_masculine/Dushitelya	Male/C_masculine/dushitelya	Male/C_masculine/razrushitelya	Male/C_masculine/slushatelya
Male/C_masculine/Obvinitelya	Male/C_masculine/obvinitelya	Male/C_masculine/obvinitelyem	None
Male/C_masculine/Pisatelya	Male/C_masculine/pisatelya	Male/C_masculine/pisatelyem	None
Female/C_feminine/Tysjachaoj	Female/C_feminine/tysjachaoj	Female/C_feminine/tysjachau	None
Male/C_feminine/Lyzhitsau	None	None	None
Male/C_feminine/Lvitsaoj	None	None	None
Male/C_feminine/Devochkau	Male/C_feminine/devochku	None	None
Female/C_masculine/Stroitelyem	Female/C_masculine/stroitelyem	Female/C_masculine/smotritelyem	Female/C_masculine/voditelyem
Male/C_masculine/Zvonaryem	Male/C_masculine/zvonaryem	Male/C_masculine/fonaryem	Male/C_masculine/zvonarya
Male/C_masculine/Glukharyem	Male/C_masculine/glukharyem	Male/C_masculine/glukharya	Male/C_masculine/bukvaryem
Male/C_masculine/Obyvatelyem	Male/C_masculine/obyvatelyem	Male/C_masculine/obyvatelya	None
Male/C_masculine/Parolya	Male/C_masculine/parolya	Male/C_masculine/aprelya	None
Male/C_feminine/Oblavau	Male/C_feminine/oblavu	None	None
Female/C_feminine/Pogodaoj	Female/C_feminine/pogodaoj	Female/C_feminine/pogodau	None
Female/C_masculine/Konya	Female/C_masculine/konya	Female/C_masculine/olenya	Female/C_masculine/ogonya
Female/C_masculine/Dvigatelya	Female/C_masculine/dvigatelya	Female/C_masculine/dvigatelyem	Female/C_masculine/voditelya
Female/C_feminine/Kozhaoj	Female/C_feminine/kozhaoj	Female/C_feminine/rozochkaoj	Female/C_feminine/krazhaoj
Female/C_feminine/Vetrovkau	Female/C_feminine/vetrovkau	Female/C_feminine/koderovkau	Female/C_feminine/vorovkau
Female/C_masculine/Korenya	Female/C_masculine/kkorenya	Female/C_masculine/olenya	Female/C_masculine/penya
Female/C_masculine/Vratarya	None	None	None
Male/C_masculine/Blagodetelyem	Male/C_masculine/blagodetelyem	Male/C_masculine/blagodetelya	None
Male/C_masculine/injulyem	Male/C_masculine/ijulyem	Male/C_masculine/tjulyem	Male/C_masculine/ijunyem
Female/C_masculine/Portfelyem	Female/C_masculine/portfelyem	Female/C_masculine/portfelya	None
Female/C_feminine/Gazetaoj	Female/C_feminine/gazetaoj	Female/C_feminine/raketaoj	Female/C_feminine/gazetau
Female/C_masculine/Uchitelyem	Female/C_masculine/uchitelyem	Female/C_masculine/uchitelya	Female/C_masculine/sluzhitelyem
Female/C_masculine/Ogonyem	Female/C_masculine/ognyem	Female/C_masculine/konyem	Female/C_masculine/olenyem
Male/C_feminine/Sluzhbaoj	None	None	None
Female/C_masculine/Predatelya	None	None	None
Male/C_masculine/Bukvaryem	Male/C_masculine/bukvaryem	Male/C_masculine/glukharyem	None
Male/C_masculine/Osvezhitelya	Male/C_masculine/osvezhitelya	None	None
Male/C_masculine/Bezdaryem	Male/C_masculine/bezdaryem	Male/C_masculine/bezdarya	None
Male/C_masculine/Fonaryem	Male/C_masculine/fonaryem	Male/C_masculine/zvonaryem	None
Male/C_feminine/Koristau	None	None	None
Male/C_feminine/Vdovauu	None	None	None
Male/C_feminine/Zazhigalkau	Male/C_feminine/zazhigalku	None	None
Male/C_feminine/Sobakau	Male/C_feminine/sobaku	None	None
Male/C_feminine/Snezhinkaoj	Male/C_feminine/snezhinkoj	None	None
Male/C_masculine/janvarya	Male/C_masculine/janvarya	None	None
Male/C_masculine/Obyvatelya	Male/C_masculine/obyvatelya	Male/C_masculine/obyvatelyem	None
Female/C_feminine/gazetau	Female/C_feminine/gazetau	Female/C_feminine/gazetaoj	Female/C_feminine/raketau
Male/C_feminine/Sluzhbau	Male/C_feminine/sluzhbu	None	None
Male/C_masculine/Aprelya	Male/C_masculine/aprelya	Male/C_masculine/parolya	Male/C_masculine/pravitelya
Male/C_masculine/Rublya	Male/C_masculine/rublya	Male/C_masculine/tjulya	Male/C_masculine/ijulya
Female/C_masculine/Smotritelya	Female/C_masculine/smotritelya	Female/C_masculine/smotritelyem	None
Male/C_feminine/Raznitsaoj	Male/C_feminine/raznitsoy	None	None
Female/C_masculine/Korablyem	Female/C_masculine/korablya	None	None
Male/C_masculine/Grabitelya	Male/C_masculine/grabitelya	Male/C_masculine/pravitelya	Male/C_masculine/grabitelyem
Male/C_masculine/Pisatelyem	Male/C_masculine/pisatelyem	Male/C_masculine/pisatelya	None
Female/C_masculine/Spasitelyem	Female/C_masculine/spasitelyem	Female/C_masculine/spasitelya	Female/C_masculine/stroitelyem
Male/C_masculine/Vykljuchatelyem	Male/C_masculine/vikljuchatelyem	None	None
Male/C_feminine/Khlopushkau	Male/C_feminine/khlopushku	None	None
Male/C_masculine/Pokoritelya	Male/C_masculine/pokoritelya	Male/C_masculine/pokoritelyem	None
Male/C_masculine/Razrushitelyem	Male/C_masculine/razrushitelyem	Male/C_masculine/razrushitelya	Male/C_masculine/dushitelyem
Male/C_feminine/Koronaoj	None	None	None
Female/C_feminine/Progulkau	Female/C_feminine/progulkau	Female/C_feminine/progulkaoj	None
Male/C_masculine/Ijunya	Male/C_masculine/ijunya	Male/C_masculine/tjulya	Male/C_masculine/ijulya
Female/C_feminine/Kochergaoj	Female/C_feminine/kochergaoj	None	None
Male/C_masculine/Glukharya	Male/C_masculine/glukharya	Male/C_masculine/sukharya	Male/C_masculine/glukharyem
Female/C_feminine/Dvukhvostkau	Female/C_feminine/dvukhvostkaoj	None	None
Male/C_masculine/Rublyem	Male/C_masculine/rublyem	Male/C_masculine/tjulyem	Male/C_masculine/ijulyem
Male/C_masculine/Tsaryem	Male/C_masculine/tsaryem	Male/C_masculine/slesaryem	None
Male/C_masculine/Pravitelyem	Male/C_masculine/pravitelyem	Male/C_masculine/grabitelyem	Male/C_masculine/pravitelya
Male/C_masculine/Gosudarya	Male/C_masculine/gosudarya	Male/C_masculine/sukharya	None
Male/C_feminine/Makushkaoj	Male/C_feminine/makushkoj	None	None
Male/C_masculine/Slushatelya	Male/C_masculine/slushatelya	Male/C_masculine/slushatelyem	Male/C_masculine/dushitelya
Male/C_feminine/Lyzhitsaoj	None	None	None
Female/C_masculine/Konyem	Female/C_masculine/ognyem	Female/C_masculine/konyem	Female/C_masculine/olenyem
Female/C_masculine/Staratelya	None	None	None
Male/C_masculine/Pokoritelyem	Male/C_masculine/pokoritelyem	Male/C_masculine/pokoritelya	None
Male/C_masculine/rastochitelya	Male/C_masculine/rastochitelya	Male/C_masculine/rastochitelyem	Male/C_masculine/razrushitelya
Male/C_masculine/Parolyem	Male/C_masculine/parolyem	Male/C_masculine/aprelyem	None
Male/C_feminine/uchenistaoj	Male/C_feminine/uchenitsoj	None	None
Female/C_masculine/Muchitelya	Female/C_masculine/uchitelya	Female/C_masculine/uchitelyem	Female/C_masculine/sluzhitelya
Female/C_masculine/Vrataryem	None	None	None
Female/C_masculine/Predatelyem	Female/C_masculine/sozdatelyem	Female/C_masculine/dvigatelyem	None
