Eng.Displ,Cyl,Transm,MPG
5.7,8,Autom,18.3326
5.7,8,Autom,19.0711
2.0,4,Autom,46.189
2.0,4,Autom,32.3729
3.6,6,Autom,24.8373
2.0,4,Autom,32.4219
2.5,5,Autom,33.1375
2.0,4,Autom,46.189
2.0,4,Autom,34.84
2.5,5,Autom,33.1375
2.0,4,Autom,31.8791
2.0,4,Autom,46.189
2.5,5,Autom,33.1375
2.0,4,Autom,46.189
2.0,4,Autom,28.1022
2.0,4,Autom,27.9247
3.0,6,Autom,27.5659
3.0,6,Autom,27.5659
3.2,6,Autom,28.3393
3.0,6,Autom,24.3642
3.2,6,Autom,26.1531
3.2,6,Autom,26.9328
3.0,6,Autom,24.3642
3.2,6,Autom,26.1531
3.2,6,Autom,26.9328
4.4,8,Autom,20.2913
3.2,6,Autom,23.1733
3.2,6,Autom,23.6694
3.0,6,Autom,26.096
3.0,6,Autom,24.7961
3.0,6,Autom,26.7279
3.0,6,Autom,26.6209
3.0,6,Autom,25.0576
3.0,6,Autom,25.0576
4.4,8,Autom,23.0883
4.0,8,Autom,20.2296
4.0,8,Autom,20.6318
4.0,8,Autom,20.6318
3.0,6,Autom,25.0576
3.0,6,Autom,25.0576
8.0,16,Autom,12.4782
3.7,6,Autom,27.6385
3.7,6,Autom,25.9153
5.6,8,Autom,24.8316
5.6,8,Autom,23.7563
5.6,8,Autom,20.4528
5.6,8,Autom,20.1935
3.6,6,Autom,28.3237
3.6,6,Autom,27.6585
3.6,6,Autom,27.4363
3.6,6,Autom,27.4363
3.8,6,Autom,27.4529
3.8,6,Autom,27.9294
3.8,6,Autom,27.9294
3.6,6,Autom,28.0113
3.8,6,Autom,28.1386
3.8,6,Autom,27.9734
3.8,6,Autom,24.3047
3.8,6,Autom,25.137
3.8,6,Autom,24.3047
3.8,6,Autom,25.137
2.9,6,Autom,30.8027
3.4,6,Autom,30.066
3.4,6,Autom,30.4732
2.9,6,Autom,30.8027
3.4,6,Autom,30.066
3.6,6,Autom,27.4684
3.6,6,Autom,26.9733
4.8,8,Autom,24.5677
4.8,8,Autom,24.5677
4.8,8,Autom,22.8677
2.0,4,Autom,30.7894
2.0,4,Autom,30.7894
2.0,4,Autom,30.7894
2.0,4,Autom,30.7894
4.2,8,Autom,25.8745
4.2,8,Autom,25.8745
2.0,4,Autom,28.6594
3.0,6,Autom,22.9453
3.0,6,Autom,26.4845
3.0,6,Autom,28.8095
3.0,6,Autom,33.0717
3.0,6,Autom,31.1863
3.0,6,Autom,31.1863
3.0,6,Autom,29.5936
3.0,6,Autom,28.2105
4.4,8,Autom,25.529
4.4,8,Autom,22.2751
4.4,8,Autom,23.87
4.4,8,Autom,22.566
6.0,12,Autom,19.2184
4.4,8,Autom,25.5803
4.4,8,Autom,25.5803
3.0,6,Autom,24.0124
4.4,8,Autom,20.9005
3.0,6,Autom,24.0124
4.4,8,Autom,20.9005
3.6,6,Autom,24.3777
4.8,8,Autom,23.5402
4.8,8,Autom,22.1653
4.6,8,Autom,25.4158
5.0,8,Autom,23.7788
3.6,6,Autom,24.9612
2.5,4,Manual,32.7045
1.6,4,Manual,42.6986
2.0,4,Manual,38.6435
2.3,4,Manual,31.2409
4.0,6,Manual,22.695
4.0,6,Manual,21.3325
2.5,4,Manual,32.7045
1.6,4,Manual,39.9887
1.6,4,Manual,39.9887
1.6,4,Manual,39.9887
2.9,4,Manual,27.389
2.9,4,Manual,26.413
2.9,4,Manual,27.3305
2.9,4,Manual,27.3728
2.9,4,Manual,26.413
2.9,4,Manual,27.3305
2.2,4,Manual,34.0798
2.4,4,Manual,32.6079
2.2,4,Manual,34.0798
2.4,4,Manual,32.6079
2.4,4,Manual,34.4719
2.4,4,Manual,35.3768
1.8,4,Manual,39.2412
1.6,4,Manual,40.5139
1.6,4,Manual,39.9374
2.0,4,Manual,34.3642
2.0,4,Manual,30.0427
1.6,4,Manual,41.1392
1.6,4,Manual,37.9399
2.0,4,Manual,35.1027
1.5,4,Manual,42.6067
2.0,4,Manual,37.1303
2.0,4,Manual,32.3665
2.0,4,Manual,36.5742
2.4,4,Manual,33.7571
2.0,4,Manual,24.8157
2.0,4,Manual,35.7916
2.4,4,Manual,33.3475
2.4,4,Manual,34.9301
2.4,4,Manual,29.8358
2.5,4,Manual,27.3225
2.5,4,Manual,27.3625
1.6,4,Manual,38.2701
2.5,4,Manual,30.4865
2.5,4,Manual,29.2187
2.5,4,Manual,27.3764
2.5,4,Manual,29.2187
2.5,4,Manual,27.3764
2.4,4,Manual,28.272
2.7,4,Manual,30.1782
2.7,4,Manual,25.6256
2.4,4,Manual,31.7078
1.8,4,Manual,39.3004
1.5,4,Manual,42.5746
2.5,5,Manual,32.2415
2.5,5,Manual,32.2415
2.0,4,Manual,34.6771
2.5,5,Manual,32.2415
5.9,12,Manual,16.9597
2.0,4,Manual,30.4102
2.0,4,Manual,32.7656
2.0,4,Manual,32.7656
2.0,4,Manual,31.2202
2.0,4,Manual,31.2202
2.0,4,Manual,31.2202
5.2,10,Manual,16.7632
5.2,10,Manual,16.7632
3.0,6,Manual,25.7879
4.2,8,Manual,21.2088
3.0,6,Manual,28.4287
3.0,6,Manual,28.4287
3.0,6,Manual,30.1564
3.0,6,Manual,29.1536
3.0,6,Manual,28.4287
3.0,6,Manual,26.0504
3.0,6,Manual,25.4079
3.0,6,Manual,28.4287
3.0,6,Manual,26.0504
3.0,6,Manual,25.4079
3.0,6,Manual,25.4079
3.0,6,Manual,29.1536
3.0,6,Manual,29.1536
3.0,6,Manual,28.096
3.0,6,Manual,29.1536
3.0,6,Manual,28.096
3.0,6,Manual,26.9077
3.0,6,Manual,26.9077
3.0,6,Manual,29.1536
4.4,8,Manual,22.3675
4.0,8,Manual,20.1548
4.0,8,Manual,20.8295
4.0,8,Manual,20.8295
1.6,4,Manual,40.934
1.6,4,Manual,40.934
1.6,4,Manual,43.5854
1.6,4,Manual,40.934
1.6,4,Manual,40.1487
1.6,4,Manual,40.1487
1.6,4,Manual,40.1487
1.6,4,Manual,37.8693
1.6,4,Manual,36.5254
1.6,4,Manual,37.2135
1.6,4,Manual,37.2135
1.6,4,Manual,37.2135
3.0,6,Manual,28.4287
3.0,6,Manual,27.855
3.8,6,Manual,21.3882
2.5,4,Manual,32.2808
2.5,4,Manual,33.1839
2.5,4,Manual,32.2808
2.5,4,Manual,33.1839
3.7,6,Manual,28.906
5.0,8,Manual,26.3073
5.4,8,Manual,22.4618
3.6,6,Manual,26.5049
6.2,8,Manual,24.192
7.0,8,Manual,22.9951
6.2,8,Manual,20.3461
6.2,8,Manual,25.1272
3.6,6,Manual,24.8489
3.0,6,Manual,24.9139
6.2,8,Manual,20.6021
3.5,6,Manual,26.7314
2.0,4,Manual,30.6791
1.5,4,Manual,44.9068
3.7,6,Manual,26.1811
2.0,4,Manual,31.5097
3.8,6,Manual,26.5194
2.4,4,Manual,36.4772
2.4,4,Manual,31.0183
2.4,4,Manual,29.0238
2.4,4,Manual,29.1277
2.4,4,Manual,30.9916
2.4,4,Manual,29.1002
5.2,10,Manual,17.2308
5.2,10,Manual,16.0722
2.5,4,Manual,30.3956
2.3,4,Manual,26.9606
2.0,4,Manual,31.2651
1.3,2,Manual,23.8883
3.0,6,Manual,26.5611
3.5,6,Manual,26.6472
2.0,4,Manual,35.3684
2.5,4,Manual,31.2863
1.8,4,Manual,37.3172
3.6,6,Manual,27.3112
3.6,6,Manual,26.9039
3.6,6,Manual,27.1852
3.6,6,Manual,27.1852
3.8,6,Manual,26.8165
3.8,6,Manual,26.1359
3.8,6,Manual,26.1359
3.6,6,Manual,27.496
3.8,6,Manual,26.7514
3.8,6,Manual,27.3325
3.6,6,Manual,24.1841
3.8,6,Manual,20.985
3.8,6,Manual,20.985
3.8,6,Manual,24.364
3.8,6,Manual,24.7865
2.9,6,Manual,28.1535
3.4,6,Manual,28.1756
3.4,6,Manual,28.5682
3.6,6,Manual,22.329
2.9,6,Manual,28.1535
3.4,6,Manual,28.1756
2.5,4,Manual,24.4753
2.5,4,Manual,24.4753
2.5,4,Manual,28.8866
2.5,4,Manual,26.9334
2.5,4,Manual,28.8866
2.4,4,Manual,31.1088
2.4,4,Manual,32.1995
2.0,4,Manual,33.1103
2.0,4,Manual,32.9372
2.0,4,Manual,34.9774
2.0,4,Manual,34.3225
2.5,4,Manual,34.1784
2.5,6,Manual,28.3352
4.0,6,Manual,21.673
4.0,6,Manual,19.9793
2.5,4,Manual,33.8727
2.0,4,Manual,45.9507
2.0,4,Manual,45.9507
2.0,4,Manual,45.9507
2.0,4,Manual,26.3745
2.5,5,Manual,30.5743
2.5,5,Manual,29.0822
